label,bank,rows,concurrency,n,errors,p50_ms,p95_ms,p95_ci_low_ms,p95_ci_high_ms,p99_ms,max_ms,mean_ms,stddev_ms,cv,mean_results,zero_result_calls,contention
"P2 phase attribution (#4476)",bank-01,232736,1,8,0,1972.77,3656.77,2129.25,3656.77,3656.77,3656.77,1946.95,917.63,0.4713,64.38,0,off
"P2 phase attribution (#4476)",bank-01,232736,8,8,0,4148.2,5707.48,5706.67,5707.48,5707.48,5707.48,4708.48,1035.89,0.22,64.38,0,off
"P2 phase attribution (#4476)",bank-01,232736,16,8,0,5642.07,5643.23,5642.67,5643.23,5643.23,5643.23,5093.5,958.12,0.1881,64.38,0,off
"P2 phase attribution (#4476)",bank-10,1525,1,8,0,713.73,1781.44,751.2,1781.44,1781.44,1781.44,889.98,352.67,0.3963,65.5,0,off
"P2 phase attribution (#4476)",bank-10,1525,8,8,0,5787.69,5804.29,5788.08,5804.29,5804.29,5804.29,5681.94,298.19,0.0525,65.5,0,off
"P2 phase attribution (#4476)",bank-10,1525,16,8,0,6677.97,6679.03,6678.51,6679.03,6679.03,6679.03,6024.69,1137.12,0.1887,65.5,0,off
"P2 phase attribution (#4476)",bank-14,12,1,8,0,641.22,2169.6,642.13,2169.6,2169.6,2169.6,835.36,504.43,0.6038,12,0,off
"P2 phase attribution (#4476)",bank-14,12,8,8,0,4839.08,4850.47,4849.4,4850.47,4850.47,4850.47,4588.78,677.88,0.1477,12,0,off
"P2 phase attribution (#4476)",bank-14,12,16,8,0,5010.27,5010.61,5010.53,5010.61,5010.61,5010.61,4747.69,692.49,0.1459,12,0,off
